"source_seed","source_ofv","kss_fixed","nBurn","nEm","start_ka","start_Vc","start_Vp","start_CL","start_kint","start_ksyn","start_R0","start_add.err","start_prop.err","ofv","add.err","prop.err","ka","Vc","Vp","CL","kint","ksyn","R0","status","elapsed_sec","timestamp"
42,2983.39385026711,1.263,500,1000,0.014,2.69,4.46,0.00578,0.0149,0.00507,18,0.884,0.145,7373.77362156541,1.53,0.12,0.00937,2.04,5.59,0.00636,0.015,0.00506,9.88,"OK",5803.5,"2026-09-04 10:02:58"
999,2986.03580860996,1.263,500,1000,0.0138,2.62,4.58,0.00574,0.0151,0.00581,17.5,0.846,0.145,8031.35433716399,2.28,0.15,0.00989,2.17,5.44,0.00634,0.0176,0.0058,12.2,"OK",5738.2,"2026-09-04 11:38:53"
2024,2989.470776081,1.263,500,1000,0.0139,2.68,4.52,0.00574,0.0141,0.00576,18.7,0.889,0.145,8322.85695508173,2.54,0.162,0.00975,2.23,5.47,0.00639,0.0137,0.00567,12.2,"OK",5675.6,"2026-09-04 13:13:46"
